iter	Passed	Remaining
568	1744	1321
569	1746	1317
570	1748	1313
571	1751	1310
572	1753	1306
573	1755	1303
574	1758	1299
575	1760	1295
576	1762	1291
577	1764	1288
578	1766	1284
579	1769	1281
580	1771	1277
581	1773	1273
582	1776	1270
583	1778	1266
584	1781	1263
585	1783	1259
586	1786	1256
587	1788	1253
588	1790	1249
589	1792	1245
590	1795	1242
591	1797	1238
592	1800	1235
593	1802	1231
594	1804	1228
595	1807	1224
596	1810	1221
597	1813	1219
598	1816	1215
599	1818	1212
600	1820	1208
601	1822	1205
602	1826	1202
603	1829	1199
604	1831	1195
605	1833	1192
606	1836	1189
607	1841	1187
608	1844	1184
609	1846	1180
610	1848	1176
611	1851	1173
612	1853	1170
613	1855	1166
614	1858	1163
615	1860	1160
616	1863	1156
617	1866	1153
618	1868	1150
619	1870	1146
620	1873	1143
621	1875	1139
622	1880	1137
623	1885	1136
624	1888	1133
625	1891	1129
626	1893	1126
627	1896	1123
628	1898	1119
629	1900	1116
630	1902	1112
631	1905	1109
632	1908	1106
633	1911	1103
634	1913	1099
635	1915	1096
636	1918	1093
637	1920	1089
638	1923	1086
639	1925	1083
640	1927	1079
641	1930	1076
642	1933	1073
643	1936	1070
644	1938	1067
645	1940	1063
646	1943	1060
647	1945	1056
648	1947	1053
649	1950	1050
650	1952	1046
651	1954	1043
652	1957	1040
653	1959	1036
654	1962	1033
655	1965	1030
656	1968	1027
657	1970	1024
658	1972	1020
659	1974	1017
660	1977	1014
661	1979	1010
662	1981	1007
663	1983	1003
664	1986	1000
665	1988	997
666	1990	993
667	1993	990
668	1995	987
669	1998	984
670	2001	981
671	2003	978
672	2006	974
673	2008	971
674	2011	968
675	2014	965
676	2017	962
677	2020	959
678	2022	956
679	2024	952
680	2026	949
681	2031	947
682	2034	944
683	2037	941
684	2039	937
685	2042	934
686	2045	931
687	2047	928
688	2049	925
689	2052	922
690	2054	918
691	2057	915
692	2062	913
693	2064	910
694	2067	907
695	2069	903
696	2071	900
697	2073	897
698	2076	894
699	2078	890
700	2081	887
701	2083	884
702	2086	881
703	2088	878
704	2090	874
705	2093	871
706	2095	868
707	2097	865
708	2100	862
709	2103	858
710	2105	855
711	2107	852
712	2110	849
713	2112	846
714	2115	843
715	2117	839
716	2119	836
717	2122	833
718	2124	830
719	2127	827
720	2130	824
721	2132	821
722	2135	817
723	2137	814
724	2139	811
725	2142	808
726	2144	805
727	2147	802
728	2149	799
729	2152	796
730	2155	793
731	2157	789
732	2160	786
733	2162	783
734	2165	780
735	2167	777
736	2170	774
737	2172	771
738	2174	768
739	2177	765
740	2179	761
741	2182	758
742	2184	755
743	2187	752
744	2189	749
745	2191	746
746	2194	743
747	2197	740
748	2200	737
749	2202	734
750	2204	731
751	2207	727
752	2209	724
753	2212	721
754	2214	718
755	2216	715
756	2218	712
757	2221	709
758	2224	706
759	2226	703
760	2228	699
761	2231	696
762	2233	693
763	2236	690
764	2238	687
765	2241	684
766	2243	681
767	2245	678
768	2247	675
769	2249	672
770	2253	669
771	2255	666
772	2258	663
773	2260	660
774	2263	657
775	2265	654
776	2268	651
777	2270	647
778	2273	644
779	2275	641
780	2277	638
781	2280	635
782	2283	632
783	2285	629
784	2287	626
785	2290	623
786	2292	620
787	2295	617
788	2297	614
789	2299	611
790	2302	608
791	2304	605
792	2306	602
793	2309	599
794	2311	596
795	2313	593
796	2316	589
797	2318	586
798	2321	583
799	2323	580
800	2325	577
801	2328	574
802	2330	571
803	2333	568
804	2335	565
805	2338	562
806	2341	560
807	2344	557
808	2346	554
809	2349	551
810	2351	548
811	2354	545
812	2356	541
813	2358	538
814	2360	535
815	2362	532
816	2365	529
817	2367	526
818	2370	523
819	2372	520
820	2375	517
821	2377	514
822	2380	511
823	2382	508
824	2384	505
825	2387	502
826	2389	499
827	2391	496
828	2393	493
829	2396	490
830	2398	487
831	2400	484
832	2403	481
833	2405	478
834	2407	475
835	2410	472
836	2412	469
837	2415	466
838	2417	463
839	2419	460
840	2422	457
841	2424	454
842	2426	451
843	2429	449
844	2431	446
845	2433	443
846	2436	440
847	2438	437
848	2440	434
849	2443	431
850	2445	428
851	2448	425
852	2450	422
853	2453	419
854	2455	416
855	2457	413
856	2460	410
857	2462	407
858	2464	404
859	2466	401
860	2469	398
861	2471	395
862	2473	392
863	2475	389
864	2477	386
865	2479	383
866	2481	380
867	2484	377
868	2487	374
869	2489	372
870	2491	369
871	2494	366
872	2496	363
873	2498	360
874	2500	357
875	2503	354
876	2505	351
877	2507	348
878	2510	345
879	2512	342
880	2514	339
881	2517	336
882	2519	333
883	2521	330
884	2523	327
885	2526	325
886	2528	322
887	2530	319
888	2533	316
889	2535	313
890	2537	310
891	2540	307
892	2542	304
893	2544	301
894	2547	298
895	2549	295
896	2551	292
897	2553	290
898	2556	287
899	2558	284
900	2560	281
901	2563	278
902	2565	275
903	2568	272
904	2570	269
905	2573	266
906	2575	264
907	2577	261
908	2580	258
909	2582	255
910	2585	252
911	2587	249
912	2589	246
913	2591	243
914	2593	240
915	2596	238
916	2598	235
917	2601	232
918	2603	229
919	2605	226
920	2608	223
921	2610	220
922	2612	217
923	2615	215
924	2617	212
925	2620	209
926	2622	206
927	2625	203
928	2627	200
929	2629	197
930	2631	195
931	2634	192
932	2636	189
933	2639	186
934	2641	183
935	2644	180
936	2646	177
937	2648	175
938	2651	172
939	2653	169
940	2655	166
941	2658	163
942	2660	160
943	2662	157
944	2665	155
945	2667	152
946	2670	149
947	2672	146
948	2674	143
949	2676	140
950	2679	138
951	2681	135
952	2684	132
953	2686	129
954	2688	126
955	2691	123
956	2693	121
957	2695	118
958	2698	115
959	2700	112
960	2702	109
961	2705	106
962	2707	104
963	2709	101
964	2712	98
965	2714	95
966	2716	92
967	2720	89
968	2722	87
969	2725	84
970	2727	81
971	2729	78
972	2732	75
973	2734	72
974	2736	70
975	2739	67
976	2741	64
977	2744	61
978	2746	58
979	2748	56
980	2750	53
981	2753	50
982	2755	47
983	2757	44
984	2760	42
985	2762	39
986	2764	36
987	2767	33
988	2769	30
989	2771	27
990	2773	25
991	2776	22
992	2778	19
993	2780	16
994	2782	13
995	2785	11
996	2787	8
997	2790	5
998	2792	2
999	2794	0
